date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:23	47876/47876	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2017:22:23%20GMT	https://magnetadservices.com/Publishers	magnetadservices.com/Publishers.html	(from https://magnetadservices.com/)
19:22:24	45136/45136	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2017:22:25%20GMT	https://magnetadservices.com/SearchAds	magnetadservices.com/SearchAds.html	(from https://magnetadservices.com/)
19:22:25	21304/21304	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2017:22:25%20GMT	https://magnetadservices.com/AboutUs	magnetadservices.com/AboutUs.html	(from https://magnetadservices.com/)
19:22:26	2189/2189	---M--	200	added ('OK')	image/svg+xml	etag:%220d0d73ad047d61:0%22	https://magnetadservices.com/Content/images/theme/double-tail-spin.svg	magnetadservices.com/Content/images/theme/double-tail-spin.svg	(from https://magnetadservices.com/)
19:22:27	154766/154766	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/home-page-image/home-stand.jpg	magnetadservices.com/Content/images/home-page-image/home-stand.jpg	(from https://magnetadservices.com/)
19:22:27	3583/3583	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/users-icon.png	magnetadservices.com/Content/images/theme/users-icon.png	(from https://magnetadservices.com/)
19:22:28	2739/2739	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/media-icon.png	magnetadservices.com/Content/images/theme/media-icon.png	(from https://magnetadservices.com/)
19:22:28	4699/4699	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/advertisers-icon.png	magnetadservices.com/Content/images/theme/advertisers-icon.png	(from https://magnetadservices.com/)
19:22:29	4526/4526	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/impression-icon.png	magnetadservices.com/Content/images/theme/impression-icon.png	(from https://magnetadservices.com/)
19:22:30	14183/14183	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/keywords-in-search-ads.png	magnetadservices.com/Content/images/theme/keywords-in-search-ads.png	(from https://magnetadservices.com/)
19:22:31	17048/17048	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/install-in-search-ads.png	magnetadservices.com/Content/images/theme/install-in-search-ads.png	(from https://magnetadservices.com/)
19:22:31	16332/16332	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/spicific-advertiser-icon.png	magnetadservices.com/Content/images/theme/spicific-advertiser-icon.png	(from https://magnetadservices.com/)
19:22:32	13804/13804	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/spicific-publisher-icon.png	magnetadservices.com/Content/images/theme/spicific-publisher-icon.png	(from https://magnetadservices.com/)
19:22:33	93397/93397	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/home-page-image/customers-advertiser.jpg	magnetadservices.com/Content/images/home-page-image/customers-advertiser.jpg	(from https://magnetadservices.com/)
19:22:33	33940/33940	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/home-page-image/customers-publisher.jpg	magnetadservices.com/Content/images/home-page-image/customers-publisher.jpg	(from https://magnetadservices.com/)
19:22:34	1992/1992	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/aparat-icon.png	magnetadservices.com/Content/images/theme/aparat-icon.png	(from https://magnetadservices.com/)
19:22:35	82173/82173	---M--	200	added ('OK')	text/javascript	date:Tue,%2006%20Oct%202020%2017:22:35%20GMT	https://magnetadservices.com/Content/footerJs?v=6PciLkPUfTnB9rzfW7iqGySVYQQxFCkqaMUReRWK1rE1	magnetadservices.com/Content/footerJsa772	(from https://magnetadservices.com/)
19:22:35	31992/31992	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Bold.eot?	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Boldd41d.eot	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:36	28856/28856	---M--	200	added ('OK')	font/woff2	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Bold.woff2	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Bold.woff2	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:37	36069/36069	---M--	200	added ('OK')	font/x-woff	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Bold.woff	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Bold.woff	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:38	57268/57268	---M--	200	added ('OK')	application/octet-stream	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Bold.ttf	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Bold.ttf	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:38	32043/32043	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Medium.eot?	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Mediumd41d.eot	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:39	28912/28912	---M--	200	added ('OK')	font/woff2	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Medium.woff2	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Medium.woff2	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:40	36145/36145	---M--	200	added ('OK')	font/x-woff	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Medium.woff	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Medium.woff	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:41	58192/58192	---M--	200	added ('OK')	application/octet-stream	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Medium.ttf	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Medium.ttf	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:41	35477/35477	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Light.eot?	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Lightd41d.eot	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:42	32344/32344	---M--	200	added ('OK')	font/woff2	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Light.woff2	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Light.woff2	(from https://magnetadservices.com/Content/style/style.min.css)
19:22:43	39557/39557	---M--	200	added ('OK')	font/x-woff	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Light.woff	magnetadservices.com/Content/fonts/IranSans/IRANSansWeb_FaNum_Light.woff	(from https://magnetadservices.com/Content/style/style.min.css)
